,bean_country,cocoa_percent,ingredient_combination,memorable_characteristics,rating,total_ingredients
0,Madagascar,0.76,BSC,"cocoa,blackberry,full bodied",3.75,3
1,Dominican Republic,0.76,BSC,"cocoa,vegetal,savory",3.5,3
2,Tanzania,0.76,BSC,"rich cocoa,fatty,bread",3.25,3
3,Peru,0.63,BSCL,"fruit,melon,roast",3.75,4
4,Bolivia,0.7,BSCL,"vegetal,nut",3.5,4
5,Venezuela,0.7,BSCL,"oily,nut,caramel,raspberry",4.0,4
6,Peru,0.63,BSC,"sweet,cocoa,tangerine",4.0,3
7,Ecuador,0.7,BSCL,"sandy,nut,cocoa,fig",3.75,4
8,Peru,0.7,BSCL,"cocoa,sour,intense tangerine",3.5,4
9,Brazil,0.7,BSCL,mild tobacco,3.25,4
10,Papua New Guinea,0.7,BSCL,"mild fruit,strong smoke",3.25,4
11,Peru,0.7,BSCL,"green,nut,cocoa",3.25,4
12,Madagascar,0.7,BSCL,"sticky,red fruit,sour",3.0,4
13,Myanmar (aka Burma),0.7,BSCL,"sticky,smoke,grass",3.0,4
14,Panama,0.7,BSCL,"brief fruit note,earth,nut",2.75,4
15,Colombia,0.7,BSCL,"burnt rubber,alkalized note",2.75,4
16,Peru,0.7,BSCL,"delicate,hazelnut,brownie",4.0,4
17,Venezuela,0.7,BSCL,"astringent,nut,chocolate",3.75,4
18,Cuba,0.7,BSCL,"slight dry,papaya",3.5,4
19,Venezuela,0.7,BSCL,"nut,mild chocolate,roast",3.5,4
20,Venezuela,0.7,BSCL,"harsh,leather,earth",2.75,4
21,Togo,0.7,BSCL,"mild profile,chocolate,spice",3.5,4
22,Peru,0.7,BSCL,"grainy texture,cocoa,sweet",3.5,4
23,Togo,0.7,BSCL,"roast,acidic,nut",3.0,4
24,Togo,0.7,BSCL,"burnt wood,earth,chocolate",2.75,4
25,Sao Tome and Principe,0.63,BSCL,"sweet,chocolate,vegetal",3.75,4
26,Peru,0.63,BSCL,"sweet,dairy,spice,cocoa",3.75,4
27,Venezuela,0.7,BSCL,"alluring aroma,powdery,nut",3.5,4
28,Peru,0.7,BS,yellow fruit,3.75,2
29,Peru,0.7,BS,"intense,nut,cherry,cocoa",3.75,2
30,Peru,0.7,BS,"hot cocoa,rich,molasses",3.5,2
31,Mexico,0.74,BS,"herb,molasses,ham",3.25,2
32,Fiji,0.88,BSC,"orange,floral,lemon",3.5,3
33,Fiji,0.72,BSC,"cocoa,powerful tang",3.5,3
34,Fiji,0.8,BSC,"spicy,like candy",3.25,3
35,Fiji,0.6,BSC,"sweet,subtle strawberry",2.75,3
36,Vanuatu,0.7,BS,"sandy,wood,spicy,sweet",3.0,2
37,Vanuatu,0.7,BS,"basic,sweet,cocoa,wood",2.75,2
38,Vanuatu,0.7,BS,"sweet,cocoa,rubber",2.75,2
39,Vanuatu,0.7,BS,"unrefined,sweet,metal",2.5,2
40,Ecuador,0.7,BSCV,"roast,nut,coffee",3.0,4
41,Ecuador,0.55,BSCV,"sandy,sweet,banana cream",2.75,4
42,Mexico,0.7,BSC,"gritty,spice,cocoa",3.0,3
43,Madagascar,0.75,BSCL,"strong pepper,musty",2.75,4
44,Brazil,0.75,BSCL,"fatty,intense,wood",2.75,4
45,Indonesia,0.75,BSCL,"hay,nut,berry",3.75,4
46,Venezuela,0.75,BSCVL,"sandy,dirt,ashy",2.5,5
47,Peru,0.75,BSCVL,"cardboard,dirt,roast",2.5,5
48,Madagascar,0.75,BSCVSa,"citrus,fatty,dairy",3.0,5
49,Trinidad and Tobago,0.65,BSCVLSa,"roast,sweet,savory",2.75,6
50,Vietnam,0.75,BSCVSa,"nut,roast,odd dairy",2.75,5
51,Mexico,0.75,BSCVLSa,"strawberry,cream,gateway",3.5,6
52,Ecuador,0.7,BSC,"sandy,green,floral",3.5,3
53,Nicaragua,0.7,BSC,"sandy,sweet,nibs",3.5,3
54,Tanzania,0.7,BSC,"sandy,melon,banana",3.5,3
55,Vietnam,0.7,BSC,"sandy,sweet,roast",3.5,3
56,Bolivia,0.8,BSCL,"gritty,berry,mild bitter",3.25,4
57,Peru,0.6,BSCL,"gritty,too sweet,fruit",3.25,4
58,Dominican Republic,0.6,BSCL,"sandy,sweet,dairy,spice",3.0,4
59,Bolivia,0.6,BSCL,"gritty,sweet,caramel,fruit",3.0,4
60,Venezuela,0.6,BSCL,"sweet,mold,off",2.5,4
61,Peru,0.6,BSC,"dry,sweet,caramel",3.0,3
62,Nicaragua,0.6,BSC,"powdery,sweet,molasses",2.75,3
63,Ecuador,0.6,BSC,"sandy,nut,earth,roast",2.75,3
64,Bolivia,0.6,BSC,"sandy,sweet,pungent",2.5,3
65,Peru,0.6,BSC,"sandy,sweet,sour,off",2.5,3
66,Dominican Republic,0.7,BSC,"sweet,coarse,nut",3.0,3
67,Venezuela,0.7,BSCV,"spicy,strawberry",3.75,4
68,Madagascar,0.7,BSCV,"spice,nut,cocoa,fruit",3.5,4
69,Venezuela,0.7,BSCV,"waxy,nut,mint",3.0,4
70,Indonesia,0.7,BSCV,"sticky,nut,high acidity",2.75,4
71,Venezuela,0.7,BSCV,"hot spice,roast",3.0,4
72,Ecuador,0.7,BSCV,"strong spice,intense pepper",4.0,4
73,Dominican Republic,0.7,BSCV,"orange,cinnamon",3.75,4
74,Venezuela,0.7,BSCV,"wood,red berry,sour",3.0,4
75,Papua New Guinea,0.7,BSCV,"tart,lemon,smoke",4.0,4
76,Ghana,0.7,BS,"dry,chalky,fudge",3.0,2
77,Ghana,0.85,BS,"roast,odd sweet,marshmallow",3.0,2
78,Ecuador,0.7,BS,"waxy,spicy",2.75,2
79,Ecuador,0.85,BS,"fatty,mushroom,off note",2.75,2
82,Peru,0.73,BSC,"oily,vegetal,nut,cocoa",3.5,3
83,Peru,0.72,BSC,"oily,vanilla,melon,cocoa",3.25,3
84,Peru,0.68,BS,"rich,sour,mild smoke",3.5,2
85,Madagascar,0.66,BS,"fruit,sour",3.25,2
86,Dominican Republic,0.75,BS,"high roast,high astringent",3.25,2
87,Papua New Guinea,0.63,BS,"smoke,savory",3.25,2
88,Venezuela,0.7,BS,"sandy,roast,nut",3.25,2
89,Belize,0.64,BSCL,"roast,brownie,nut",3.0,4
90,Multiple Countries,0.66,BSCV,"red wine,rich cocoa,long",3.75,4
91,Venezuela,0.7,BSCV,"creamy,fruit,cocoa",3.75,4
92,Grenada,0.7,BSCV,"fruit , coffee note",3.5,4
93,Trinidad and Tobago,0.7,BSCV,"coffee,fruit,woodsy",3.5,4
94,Multiple Countries,0.63,BSCV,"fatty,dairy,caramel,cocoa",3.5,4
95,Ecuador,0.7,BSCV,"creamy,earth,vegetal",3.0,4
96,Jamaica,0.7,BSCV,"sandy,wood,spicy",3.0,4
97,Peru,0.7,BSCV,"creamy,raspberry,nut",3.75,4
98,Multiple Countries,0.75,BSCV,"sweet,delicate,complex",3.5,4
99,Madagascar,0.7,BSCV,"vanilla,mint,roast",3.0,4
100,Venezuela,0.7,BSCV,"vanilla,nut,roast",3.0,4
101,Venezuela,0.7,BSCV,"nut,mild roast,vanilla",3.0,4
102,Multiple Countries,0.7,BSC,"nut,fatty,rubber,rich",2.75,3
103,Brazil,0.6,BSCL,"creamy,sweet,cocoa,banana",4.0,4
104,Brazil,0.5,BSCL,"very sweet,bright red,banana",3.75,4
105,Brazil,0.75,BSCL,"roast,fatty,nut,coffee",3.75,4
106,Brazil,0.85,BSCL,"creamy,red berry,bitter",2.75,4
107,Brazil,0.75,BSCL,"grainy,sweet,poor aftertaste",3.25,4
108,Dominican Republic,0.75,BS,"chalky,mild fruit,burnt",3.0,2
109,Bolivia,0.75,BS,"light roast,caramel,cocoa",3.5,2
110,Madagascar,0.75,BSC,"sandy,fruit,short",3.0,3
111,Venezuela,0.75,BSC,"nut,mild spice,mild earth",3.0,3
112,Ecuador,0.75,BSC,"bitter,floral,leather",2.75,3
113,Mexico,0.72,BSC,"earth,sour milk,leather",2.5,3
114,Nicaragua,0.7,BS,"creamy,sticky,peanut butter",4.0,2
115,Ecuador,0.7,BS,"spicy,cocoa",3.75,2
116,Belize,0.7,BS,"floral,strawberry,metal",3.75,2
117,Brazil,0.7,BS,"creamy,rich,rum,roast",3.5,2
118,Peru,0.68,BS,"floral,nut,rich cocoa",3.5,2
119,Dominican Republic,0.7,BS,"spicy,brownie,nut",3.5,2
120,Ecuador,0.75,BSC,"intense,floral,bourbon",3.5,3
121,Guatemala,0.7,BS,"strawberry,butterscotch,off",3.25,2
122,Brazil,0.75,BS,"floral,chemical off",2.75,2
123,Costa Rica,0.7,BS,"balanced,cherry,chocolate",4.0,2
124,Peru,0.7,BS,"creamy,complex,balanced",4.0,2
125,Tanzania,0.7,BS,"appealing smoke,wood",3.75,2
126,Nicaragua,0.7,BSC,"muddy,rich cocoa,raspberry",3.75,3
127,Dominican Republic,0.7,BS,"dark berry,chocolate",3.75,2
128,Trinidad and Tobago,0.7,BS,"delicate,simple",3.5,2
129,Vietnam,0.73,BSC,"cashew,roast,chunky melt",3.5,3
130,Guatemala,0.7,BS,"subtle,mysterious",3.5,2
131,Honduras,0.7,BS,"nut,green",3.5,2
132,Ecuador,0.7,BSC,"sticky,floral,roast",3.25,3
133,Ecuador,0.7,BSC,"chewy,mild floral",3.25,3
134,Fiji,0.7,BS,"smoke,ham,cocoa base",3.25,2
135,Vietnam,0.73,BS,"earth,nut,cardboard",3.25,2
136,Bolivia,0.7,BS,"creamy,bright fruit",4.0,2
137,Haiti,0.7,BS,"long lasting,cocoa",4.0,2
138,India,0.7,BS,"slight roast,basic cocoa",3.5,2
