,characteristic,rating
0,cocoa,3.75
1,cocoa,3.5
2,rich cocoa,3.25
3,fruit,3.75
4,vegetal,3.5
5,oily,4.0
6,sweet,4.0
7,sandy,3.75
8,cocoa,3.5
9,mild tobacco,3.25
10,mild fruit,3.25
11,green,3.25
12,sticky,3.0
13,sticky,3.0
14,brief fruit note,2.75
15,burnt rubber,2.75
16,delicate,4.0
17,astringent,3.75
18,slight dry,3.5
19,nut,3.5
20,harsh,2.75
21,mild profile,3.5
22,grainy texture,3.5
23,roast,3.0
24,burnt wood,2.75
25,sweet,3.75
26,sweet,3.75
27,alluring aroma,3.5
28,yellow fruit,3.75
29,intense,3.75
30,hot cocoa,3.5
31,herb,3.25
32,orange,3.5
33,cocoa,3.5
34,spicy,3.25
35,sweet,2.75
36,sandy,3.0
37,basic,2.75
38,sweet,2.75
39,unrefined,2.5
40,roast,3.0
41,sandy,2.75
42,gritty,3.0
43,strong pepper,2.75
44,fatty,2.75
45,hay,3.75
46,sandy,2.5
47,cardboard,2.5
48,citrus,3.0
49,roast,2.75
50,nut,2.75
51,strawberry,3.5
52,sandy,3.5
53,sandy,3.5
54,sandy,3.5
55,sandy,3.5
56,gritty,3.25
57,gritty,3.25
58,sandy,3.0
59,gritty,3.0
60,sweet,2.5
61,dry,3.0
62,powdery,2.75
63,sandy,2.75
64,sandy,2.5
65,sandy,2.5
66,sweet,3.0
67,spicy,3.75
68,spice,3.5
69,waxy,3.0
70,sticky,2.75
71,hot spice,3.0
72,strong spice,4.0
73,orange,3.75
74,wood,3.0
75,tart,4.0
76,dry,3.0
77,roast,3.0
78,waxy,2.75
79,fatty,2.75
80,oily,3.5
81,oily,3.25
82,rich,3.5
83,fruit,3.25
84,high roast,3.25
85,smoke,3.25
86,sandy,3.25
87,roast,3.0
88,red wine,3.75
89,creamy,3.75
90,fruit ,3.5
91,coffee,3.5
92,fatty,3.5
93,creamy,3.0
94,sandy,3.0
95,creamy,3.75
96,sweet,3.5
97,vanilla,3.0
98,vanilla,3.0
99,nut,3.0
100,nut,2.75
101,creamy,4.0
102,very sweet,3.75
103,roast,3.75
104,creamy,2.75
105,grainy,3.25
106,chalky,3.0
107,light roast,3.5
108,sandy,3.0
109,nut,3.0
110,bitter,2.75
111,earth,2.5
112,creamy,4.0
113,spicy,3.75
114,floral,3.75
115,creamy,3.5
116,floral,3.5
117,spicy,3.5
118,intense,3.5
119,strawberry,3.25
120,floral,2.75
121,balanced,4.0
122,creamy,4.0
123,appealing smoke,3.75
124,muddy,3.75
125,dark berry,3.75
126,delicate,3.5
127,cashew,3.5
128,subtle,3.5
129,nut,3.5
130,sticky,3.25
131,chewy,3.25
132,smoke,3.25
133,earth,3.25
134,creamy,4.0
135,long lasting,4.0
136,slight roast,3.5
137,sour fruit,3.5
138,rich cocoa,3.5
139,dried fruit,3.5
140,smooth,4.0
141,nut,3.0
142,herb,3.25
143,burnt butterscotch,3.0
144,smooth,3.5
145,roast,3.5
146,melon,3.25
147,cocoa,3.0
148,spicy,3.75
149,spice,3.25
150,slight bitter,3.0
151,spice,3.0
152,gritty,2.75
153,oily,2.5
154,cocoa,1.75
155,grass,3.75
156,black pepper,3.5
157,chewy,3.25
158,unrefined,3.25
159,nut,4.0
160,black pepper,2.75
161,marshmallow,3.75
162,gritty,3.25
163,creamy,2.75
164,smooth,3.0
165,leather,2.5
166,strawberry,3.75
167,creamy,3.75
168,grape,3.75
169,creamy,3.75
170,off aroma,3.0
171,long,3.5
172,waxy,3.0
173,sandy,3.0
174,sandy,2.75
175,unrefined,3.0
176,chalky,2.5
177,chalky,2.5
178,smoke,3.5
179,coarse,3.25
180,bland,3.0
181,black pepper,3.5
182,molasses,2.75
183,base cocoa,3.25
184,bitter,2.75
185,gritty,2.5
186,raspberry,3.75
187,molasses,3.5
188,complex,3.25
189,creamy,4.0
190,intense,3.5
191,slight dry,3.5
192,intense,3.5
193,gritty,2.75
194,strawberry,3.75
195,creamy,3.5
196,sandy,3.25
197,strong vanilla,2.25
198,smoke,3.25
199,caramel,3.0
200,intense,2.75
201,sandy,2.75
202,intense,2.75
203,intense floral,2.75
204,dry,3.5
205,pasty,2.75
206,intense,2.75
207,sticky,2.75
208,sticky,3.5
209,caramel,3.5
210,oily,3.25
211,high acidity,3.25
212,balanced,3.5
213,sweet,3.0
214,unbalanced,2.75
215,gummy,3.0
216,gummy,3.0
217,off aroma,3.0
218,smoke,4.0
219,intense,3.75
220,cinnamon,4.0
221,tobacco,3.5
222,mocha,3.5
223,nut,3.5
224,sweet,2.75
225,ham,3.5
226,dark cocoa,3.5
227,creamy,3.25
228,nut,3.25
229,creamy,4.0
230,creamy,3.5
231,chunky,3.0
232,bitter then nut rustic,3.0
233,mild bitter,3.25
234,bitter,2.5
235,molasses,2.5
236,sour,2.5
237,smooth texture,3.5
238,gritty,3.0
239,fatty,3.0
240,nut,3.75
241,intense,3.5
242,rich cocoa,3.0
243,nutmeg,3.0
244,intense marshmallow,3.5
245,chocolate covered cherry,3.5
246,rustic,3.25
247,chalky,3.0
248,robust,3.75
249,dry,3.25
250,red berry,3.0
251,nut,3.0
252,pasty,2.75
253,roasted nut,3.5
254,sweet,3.25
255,floral,3.0
256,molasses,3.0
257,off,2.75
258,rich,3.0
259,unrefined,2.75
